city_name,country,date,latitude,longitude,temp,humidity,cloudiness,wind_speed
Broome,US,1612788408,42.2506,-75.833,6.01,66,1,5.75
Vao,NC,1612788409,-22.6667,167.4833,77.59,85,0,3.8
Ixtapa,MX,1612788409,20.7,-105.2,63.0,94,40,4.61
Yafran,LY,1612788409,32.0633,12.5286,62.42,30,0,19.17
Hobart,AU,1612788409,-42.8794,147.3294,54.0,58,75,11.5
Puerto Escondido,MX,1612788409,15.85,-97.0667,75.38,73,0,2.93
Longyearbyen,SJ,1612788409,78.2186,15.6401,14.0,44,75,12.66
Lieksa,FI,1612788410,63.3167,30.0167,10.76,94,18,7.11
Meulaboh,ID,1612788410,4.1363,96.1285,81.03,79,49,2.8
Sokoni,TZ,1612788198,-6.4333,39.55,87.8,62,75,14.97
Arraial do Cabo,BR,1612788410,-22.9661,-42.0278,71.6,94,75,9.22
San Gabriel,US,1612788410,34.0961,-118.1058,53.6,82,90,0.83
Kaeo,NZ,1612788411,-35.1,173.7833,64.0,93,100,5.28
Pevek,RU,1612788411,69.7008,170.3133,-14.06,83,0,2.66
Acapulco de Juárez,MX,1612788225,16.8634,-99.8901,73.02,82,0,4.45
Caravelas,BR,1612788411,-17.7125,-39.2481,79.59,85,100,10.6
Vagay,RU,1612788411,57.9375,69.0217,-3.24,92,100,5.12
Fairbanks,US,1612788411,64.8378,-147.7164,-29.2,80,1,3.44
Saint-Philippe,RE,1612788411,-21.3585,55.7679,87.8,55,75,13.8
Santa Cruz de la Sierra,BO,1612788163,-17.8,-63.1667,82.4,74,40,8.05
Sisimiut,GL,1612788442,66.9395,-53.6735,19.45,80,0,14.83
Dalby,AU,1612788442,-27.1833,151.2667,73.99,71,17,3.0
Pontianak,ID,1612788442,-0.0333,109.3333,80.6,89,40,4.61
La Asuncion,VE,1612788442,11.0333,-63.8628,77.72,80,94,15.19
Kuytun,RU,1612788442,54.3419,101.5036,15.76,95,0,7.25
Santa Cruz de Tenerife,ES,1612788443,28.4682,-16.2546,64.99,77,40,11.5
Prince Rupert,CA,1612788257,54.3161,-130.3201,30.2,86,90,4.61
Hermanus,ZA,1612788443,-34.4187,19.2345,80.01,63,0,5.99
Itoman,JP,1612788202,26.1247,127.6694,64.4,68,75,12.66
Lebu,CL,1612788443,-37.6167,-73.65,60.75,89,88,6.4
George Town,MY,1612788444,5.4112,100.3354,84.2,74,40,9.22
Mīnāb,IR,1612788444,27.1467,57.0801,75.2,60,20,13.8
Mtwara,TZ,1612788444,-10.2667,40.1833,86.0,70,75,19.57
Nadadores,MX,1612788444,27.05,-101.6,61.0,46,100,1.48
Te Anau,NZ,1612788444,-45.4167,167.7167,57.65,90,100,2.57
Byron Bay,AU,1612788445,-28.65,153.6167,75.2,64,75,16.11
Airai,TL,1612788445,-8.9266,125.4092,61.29,100,100,2.46
Avera,US,1612788445,33.194,-82.5271,34.0,89,1,3.44
Östersund,SE,1612788445,63.1792,14.6357,15.8,92,90,3.44
Khatanga,RU,1612788446,71.9667,102.5,-20.43,82,0,14.16
Conceição do Araguaia,BR,1612788446,-8.2578,-49.2647,79.97,82,100,5.41
Sinnamary,GF,1612788447,5.3833,-52.95,80.73,76,85,14.79
Gusau,NG,1612788447,12.1628,6.6614,90.91,10,0,9.93
Severo-Kuril'sk,RU,1612788447,50.6789,156.125,20.08,93,99,8.9
Carnarvon,AU,1612788447,-24.8667,113.6333,80.6,100,0,18.41
Pangnirtung,CA,1612788447,66.1451,-65.7125,19.4,53,1,9.22
Puerto Ayora,EC,1612788447,-0.7393,-90.3518,77.0,96,100,7.67
Kununurra,AU,1612788448,-15.7667,128.7333,77.0,71,90,5.75
Samarai,PG,1612788448,-10.6167,150.6667,82.67,79,100,6.44
Mossamedes,AO,1612788448,-15.1961,12.1522,80.6,57,20,18.41
Yenagoa,NG,1612788448,4.9247,6.2642,91.85,52,16,4.72
Kruisfontein,ZA,1612788448,-34.0033,24.7314,82.99,43,0,10.0
Nosy Varika,MG,1612788448,-20.5833,48.5333,84.96,71,21,14.09
Ulaanbaatar,MN,1612787984,47.9077,106.8832,-0.4,71,0,6.71
Shenzhen,CN,1612788406,22.5455,114.0683,70.0,83,95,8.9
Cockburn Town,TC,1612788449,21.4612,-71.1419,77.41,79,100,18.61
Sarangani,PH,1612788449,5.4033,125.4636,81.63,80,90,10.49
La Grande,US,1612788449,45.3246,-118.0877,33.01,68,94,1.99
Baykit,RU,1612788449,61.67,96.37,9.66,92,100,2.91
Santiago de Cuba,CU,1612788418,20.0247,-75.8219,69.8,88,20,5.75
Kloulklubed,PW,1612788450,7.0419,134.2556,78.8,100,75,6.91
Samfya,ZM,1612788450,-11.3649,29.5565,73.63,85,100,7.58
Mildura,AU,1612788450,-34.2,142.15,69.8,28,0,5.75
